gov-unnamed-3-party,gov-unnamed-1-seats,gov-Utbildningsminister-name,gov-Utbildningsminister-party,gov-Finansminister-name,seatsInParliament-FP,gov-Statsminister-name,seatsInParliament-M,seatsInParliament-S,LKFV,seatsInParliament-V,seatsInParliament-SD,gov-Utrikesminister-name,gov-unnamed-0-seats,seatsInParliament-C,gov-unnamed-1-party,gov-Finansminister-party,gov-unnamed-3-seats,gov-unnamed-0-party,gov-unnamed-2-party,gov-Statsminister-party,gov-unnamed-2-seats,VDNAMN,seatsInParliament-MP,gov-Utrikesminister-party,seatsInParliament-KD,seatsInParliament-PP,seatsInParliament-SPI,seatsInParliament-OVR
,2,Jan Björklund,FP,Anders Borg,34,Fredrik Reinfeldt,160,39,01800601,17,,Cecilia Wikström,14,41,FP,M,,M,,M,,Gustav Vasa 1 Atlasområdet Ö,38,FP,20,,,
,,Tomas Tobé,M,Anders Borg,49,Fredrik Reinfeldt,175,41,01800602,,,Carl Bildt,16,33,,M,,M,,M,,Gustav Vasa 2 Gustav Vasa  Ö,26,M,25,,,
,2,Jan Björklund,FP,Anders Borg,33,Fredrik Reinfeldt,154,65,01800603,18,,Cecilia Wikström,14,25,FP,M,,M,,M,,Gustav Vasa 3 Odenplan NÖ,31,FP,23,,,
,2,Jan Björklund,FP,Anders Borg,42,Fredrik Reinfeldt,162,53,01800604,,,Cecilia Wikström,14,37,FP,M,,M,,M,,Gustav Vasa 4 Odenplan S,33,FP,22,,,
,1,Jan Björklund,FP,Anders Borg,36,Fredrik Reinfeldt,173,34,01800605,17,,Cecilia Wikström,15,27,FP,M,,M,,M,,Gustav Vasa 5 Gustav Vasa kyrka,36,FP,26,,,
,2,Jan Björklund,FP,Anders Borg,41,Fredrik Reinfeldt,155,39,01800606,23,,Cecilia Wikström,14,37,FP,M,,M,,M,,Gustav Vasa 6 Atlasområdet V,38,FP,16,,,
,2,Jan Björklund,FP,Anders Borg,39,Fredrik Reinfeldt,151,47,01800607,20,,Cecilia Wikström,14,29,FP,M,,M,,M,,Gustav Vasa 7 Sabbatsberg,42,FP,21,,,
,,Tomas Tobé,M,Anders Borg,44,Fredrik Reinfeldt,192,35,01800608,,,Carl Bildt,16,28,,M,,M,,M,,Gustav Vasa 8 Gustav Vasa NÖ,29,M,21,,,
,,Tomas Tobé,M,Anders Borg,41,Fredrik Reinfeldt,178,36,01800609,,,Carl Bildt,16,32,,M,,M,,M,,Gustav Vasa 9 Odenplan NV,32,M,30,,,
,2,Jan Björklund,FP,Anders Borg,39,Fredrik Reinfeldt,160,44,01800701,20,,Cecilia Wikström,14,28,FP,M,,M,,M,,Matteus 1 Hagagatan mm,37,FP,21,,,
,2,Jan Björklund,FP,Anders Borg,38,Fredrik Reinfeldt,171,32,01800702,18,,Cecilia Wikström,14,32,FP,M,,M,,M,,Matteus 2 Norrtull,36,FP,22,,,
,,Tomas Tobé,M,Anders Borg,38,Fredrik Reinfeldt,175,31,01800703,16,,Carl Bildt,16,36,,M,,M,,M,,Matteus 3 Vanadis SV,32,M,21,,,
,2,Jan Björklund,FP,Anders Borg,44,Fredrik Reinfeldt,172,39,01800704,,,Cecilia Wikström,14,34,FP,M,,M,,M,,Matteus 4 Vanadis SÖ,36,FP,24,,,
,2,Jan Björklund,FP,Anders Borg,39,Fredrik Reinfeldt,142,38,01800705,23,15,Cecilia Wikström,14,32,FP,M,,M,,M,,Matteus 5 Vanadis N,40,FP,20,,,
,2,Jan Björklund,FP,Anders Borg,42,Fredrik Reinfeldt,146,46,01800706,17,,Cecilia Wikström,14,37,FP,M,,M,,M,,Matteus 6 Norra station,39,FP,22,,,
,,Tomas Tobé,M,Anders Borg,34,Fredrik Reinfeldt,180,37,01800707,,,Carl Bildt,16,40,,M,,M,,M,,Matteus 7 Röda bergen N,32,M,26,,,
,3,Jan Björklund,FP,Anders Borg,44,Fredrik Reinfeldt,135,48,01800708,19,,Cecilia Wikström,13,32,FP,M,,M,,M,,Matteus 8 Röda bergen S,39,FP,32,,,
,2,Jan Björklund,FP,Anders Borg,37,Fredrik Reinfeldt,173,34,01800709,17,,Cecilia Wikström,14,40,FP,M,,M,,M,,Matteus 9 S:t Eriksplan Ö,27,FP,21,,,
,,Tomas Tobé,M,Anders Borg,39,Fredrik Reinfeldt,177,40,01800710,,,Carl Bildt,16,35,,M,,M,,M,,Matteus 10 Hälsingegatan mm,31,M,27,,,
,,Tomas Tobé,M,Anders Borg,35,Fredrik Reinfeldt,193,38,01800711,,,Carl Bildt,16,33,,M,,M,,M,,Matteus 11 Birkastaden N,31,M,19,,,
,,Tomas Tobé,M,Anders Borg,44,Fredrik Reinfeldt,177,30,01800712,,,Carl Bildt,16,39,,M,,M,,M,,Matteus 12 Rörstrand N,33,M,26,,,
,1,Jan Björklund,FP,Anders Borg,33,Fredrik Reinfeldt,169,36,01800713,,,Cecilia Wikström,15,43,FP,M,,M,,M,,Matteus 13 Birkastaden S,41,FP,27,,,
,2,Jan Björklund,FP,Anders Borg,42,Fredrik Reinfeldt,160,40,01800714,16,,Cecilia Wikström,14,35,FP,M,,M,,M,,Matteus 14 Rörstrand S,34,FP,22,,,
,2,Jan Björklund,FP,Anders Borg,39,Fredrik Reinfeldt,171,43,01800715,,,Cecilia Wikström,14,35,FP,M,,M,,M,,Matteus 15 Karlberg S,40,FP,21,,,
,2,Jan Björklund,FP,Anders Borg,37,Fredrik Reinfeldt,166,43,01800716,18,,Cecilia Wikström,14,31,FP,M,,M,,M,,Matteus 16 Karlberg mellersta,36,FP,18,,,
,3,Tomas Tobé,M,Anders Wijkman,34,Fredrik Reinfeldt,126,54,01800717,33,,Cecilia Wikström,12,28,FP,KD,,M,KD,M,1,Matteus 17 Karlberg N,59,FP,15,,,
,,Tomas Tobé,M,Anders Borg,35,Fredrik Reinfeldt,204,18,01800901,,,Carl Bildt,16,45,,M,,M,,M,,Engelbrekt 1 Engelbr kyrka SÖ,,M,47,,,
,,Tomas Tobé,M,Anders Borg,35,Fredrik Reinfeldt,203,17,01800902,,,Carl Bildt,16,48,,M,,M,,M,,Engelbrekt 2 Engelbr kyrka S,,M,46,,,
,2,Jan Björklund,FP,Anders Borg,36,Fredrik Reinfeldt,142,38,01800903,22,,Cecilia Wikström,14,33,FP,M,,M,,M,,Engelbrekt 3 Tekniska högskolan Ö,54,FP,24,,,
,,Tomas Tobé,M,Anders Borg,40,Fredrik Reinfeldt,229,,01800904,,,Carl Bildt,16,41,,M,,M,,M,,Engelbrekt 4 Engelbr kyrka Ö,,M,39,,,
,,Tomas Tobé,M,Anders Borg,37,Fredrik Reinfeldt,214,16,01800905,,,Carl Bildt,16,37,,M,,M,,M,,Engelbrekt 5 Engelbr kyrka SV,,M,45,,,
,,Tomas Tobé,M,Anders Borg,44,Fredrik Reinfeldt,215,,01800906,,,Carl Bildt,16,47,,M,,M,,M,,Engelbrekt 6 Engelbr kyrka NV,,M,43,,,
,2,Jan Björklund,FP,Anders Borg,43,Fredrik Reinfeldt,171,35,01800907,15,,Cecilia Wikström,14,35,FP,M,,M,,M,,Engelbrekt 7 Engelbr kyrka NÖ,26,FP,24,,,
,2,Jan Björklund,FP,Anders Borg,41,Fredrik Reinfeldt,147,44,01800908,24,,Cecilia Wikström,14,25,FP,M,,M,,M,,Engelbrekt 8 Tekniska högskolan V,46,FP,22,,,
KD,8,Göran Hägglund,KD,Birgitta Olsson,30,Fredrik Reinfeldt,99,77,01800909,35,14,Bodil Ceballos,3,22,M,FP,1,MP,FP,M,2,Engelbrekt 9 Hjorthagen,52,MP,20,,,
,4,Tomas Tobé,M,Anders Wijkman,42,Fredrik Reinfeldt,123,46,01800910,22,,Cecilia Wikström,11,36,FP,KD,,M,KD,M,1,Engelbrekt 10 Hjorthagen-Värtahamnen,59,FP,21,,,
,5,Mats Pertoft,MP,Ulla Andersson,47,Gustav Fridolin,75,56,01800911,57,,Jan Eliasson,5,31,V,V,,S,MP,MP,6,Engelbrekt 11 Universitetet Ö,83,S,,,,
,3,Jan Björklund,FP,Anders Borg,46,Fredrik Reinfeldt,129,39,01800912,18,,Cecilia Wikström,13,40,FP,M,,M,,M,,Engelbrekt 12 Universitetet V,57,FP,20,,,
,,Tomas Tobé,M,Anders Borg,38,Fredrik Reinfeldt,183,34,01800913,15,,Carl Bildt,16,34,,M,,M,,M,,Engelbrekt 13 Engelbr kyrka N,24,M,21,,,
,,Tomas Tobé,M,Anders Borg,29,Fredrik Reinfeldt,198,16,01801001,,,Carl Bildt,16,41,,M,,M,,M,,Hedvig Eleonora 1 Hedvig Eleonora V,15,M,50,,,
,,Tomas Tobé,M,Anders Borg,41,Fredrik Reinfeldt,189,21,01801002,,,Carl Bildt,16,36,,M,,M,,M,,Hedvig Eleonora 2 Hedvig Eleonora NV,16,M,46,,,
,,Tomas Tobé,M,Anders Borg,31,Fredrik Reinfeldt,213,20,01801003,,,Carl Bildt,16,33,,M,,M,,M,,Hedvig Eleonora 3 Östra Real SV,16,M,36,,,
,,Tomas Tobé,M,Anders Borg,33,Fredrik Reinfeldt,209,19,01801004,,,Carl Bildt,16,28,,M,,M,,M,,Hedvig Eleonora 4 Hedvig Eleonora SÖ,17,M,43,,,
,,Tomas Tobé,M,Anders Borg,36,Fredrik Reinfeldt,195,24,01801005,,,Carl Bildt,16,40,,M,,M,,M,,Hedvig Eleonora 5 Östermalmstorg,20,M,34,,,
,,Tomas Tobé,M,Anders Borg,47,Fredrik Reinfeldt,197,20,01801006,,,Carl Bildt,16,35,,M,,M,,M,,Hedvig Eleonora 6 Armémuseum,16,M,34,,,
,,Tomas Tobé,M,Anders Borg,39,Fredrik Reinfeldt,204,18,01801007,,,Carl Bildt,16,34,,M,,M,,M,,Hedvig Eleonora 7 Östra Real NV,17,M,37,,,
,,Tomas Tobé,M,Anders Borg,40,Fredrik Reinfeldt,200,16,01801008,,,Carl Bildt,16,38,,M,,M,,M,,Hedvig Eleonora 8 Hedvig Eleonora C,20,M,35,,,
,2,Jan Björklund,FP,Anders Borg,46,Fredrik Reinfeldt,168,30,01801101,,,Cecilia Wikström,14,38,FP,M,,M,,M,,Oscar 1 Djurgården,29,FP,38,,,
,,Tomas Tobé,M,Anders Borg,36,Fredrik Reinfeldt,192,18,01801102,,,Carl Bildt,16,39,,M,,M,,M,,Oscar 2 Garnisonen mm,17,M,47,,,
,,Tomas Tobé,M,Anders Borg,34,Fredrik Reinfeldt,229,,01801103,,,Carl Bildt,16,38,,M,,M,,M,,Oscar 3 Oscars kyrka SV,,M,48,,,
,,Tomas Tobé,M,Anders Borg,36,Fredrik Reinfeldt,204,19,01801104,,,Carl Bildt,16,35,,M,,M,,M,,Oscar 4 Oscars kyrka V,15,M,40,,,
,,Tomas Tobé,M,Anders Borg,40,Fredrik Reinfeldt,208,16,01801105,,,Carl Bildt,16,41,,M,,M,,M,,Oscar 5 Oscars kyrka S,,M,44,,,
,,Tomas Tobé,M,Anders Borg,42,Fredrik Reinfeldt,218,,01801106,,,Carl Bildt,16,43,,M,,M,,M,,Oscar 6 Karlaplan S,,M,46,,,
,,Tomas Tobé,M,Anders Borg,36,Fredrik Reinfeldt,201,18,01801107,,,Carl Bildt,16,36,,M,,M,,M,,Oscar 7 Karlaplan V,16,M,42,,,
,,Tomas Tobé,M,Anders Borg,39,Fredrik Reinfeldt,193,43,01801108,,,Carl Bildt,16,33,,M,,M,,M,,Oscar 8 Fältöversten mm,,M,41,,,
,,Tomas Tobé,M,Anders Borg,29,Fredrik Reinfeldt,201,24,01801109,,,Carl Bildt,16,36,,M,,M,,M,,Oscar 9 Oscars kyrka NÖ,21,M,38,,,
,,Tomas Tobé,M,Anders Borg,40,Fredrik Reinfeldt,212,,01801110,,,Carl Bildt,16,40,,M,,M,,M,,Oscar 10 Karlaplan N,,M,57,,,
,,Tomas Tobé,M,Anders Borg,40,Fredrik Reinfeldt,183,26,01801111,,,Carl Bildt,16,42,,M,,M,,M,,Oscar 11 Gärdet CV,26,M,32,,,
,,Tomas Tobé,M,Anders Borg,42,Fredrik Reinfeldt,178,28,01801112,,,Carl Bildt,16,33,,M,,M,,M,,Oscar 12 Tessinparken V,29,M,39,,,
,3,Jan Björklund,FP,Anders Borg,51,Fredrik Reinfeldt,172,33,01801113,,,Cecilia Wikström,13,34,FP,M,,M,,M,,Oscar 13 Olaus Petris park mm,21,FP,38,,,
,,Tomas Tobé,M,Anders Borg,36,Fredrik Reinfeldt,191,29,01801114,,,Carl Bildt,16,36,,M,,M,,M,,Oscar 14 Gärdet S,22,M,35,,,
,3,Jan Björklund,FP,Anders Borg,47,Fredrik Reinfeldt,159,35,01801115,,,Cecilia Wikström,13,46,FP,M,,M,,M,,Oscar 15 Gärdet CN,31,FP,31,,,
,,Tomas Tobé,M,Anders Borg,42,Fredrik Reinfeldt,177,30,01801116,,,Carl Bildt,16,37,,M,,M,,M,,Oscar 16 Gärdet N,34,M,29,,,
,3,Jan Björklund,FP,Anders Borg,48,Fredrik Reinfeldt,165,35,01801117,,,Cecilia Wikström,13,37,FP,M,,M,,M,,Oscar 17 Starrängsringen mm,30,FP,34,,,
,3,Jan Björklund,FP,Anders Borg,44,Fredrik Reinfeldt,146,39,01801118,18,,Cecilia Wikström,13,34,FP,M,,M,,M,,Oscar 18 Gärdet NV,42,FP,26,,,
C,3,Göran Hägglund,KD,Martin Ådahl,35,Fredrik Reinfeldt,114,59,01801119,32,16,Cecilia Wikström,10,27,FP,C,2,M,KD,M,1,Oscar 19 Gärdet NÖ,51,FP,15,,,
,2,Jan Björklund,FP,Anders Borg,41,Fredrik Reinfeldt,161,35,01801120,17,,Cecilia Wikström,14,40,FP,M,,M,,M,,Oscar 20 Gärdet Smedbacksgatan mm,31,FP,24,,,
,2,Jan Björklund,FP,Anders Borg,41,Fredrik Reinfeldt,154,40,01801121,21,,Cecilia Wikström,14,31,FP,M,,M,,M,,Oscar 21 Gärdet Ö,36,FP,26,,,
,,Tomas Tobé,M,Anders Borg,42,Fredrik Reinfeldt,180,46,01801122,,,Carl Bildt,16,31,,M,,M,,M,,Oscar 22 Gärdet CNÖ,19,M,31,,,
,,Tomas Tobé,M,Anders Borg,33,Fredrik Reinfeldt,190,26,01801123,,,Carl Bildt,16,33,,M,,M,,M,,Oscar 23 Tessinparken Ö,20,M,47,,,
C,3,Ulrika Carlsson,C,Anders Wijkman,35,Fredrik Reinfeldt,118,57,01801301,37,,Cecilia Wikström,11,25,FP,KD,1,M,KD,M,1,Maria 1 Mariaberget mellersta,58,FP,19,,,
C,2,Göran Hägglund,KD,Martin Ådahl,30,Fredrik Reinfeldt,118,64,01801302,28,,Cecilia Wikström,11,30,FP,C,2,M,KD,M,1,Maria 2 Mariaberget V,61,FP,18,,,
C,8,Ulrika Carlsson,C,Birgitta Olsson,28,Fredrik Reinfeldt,99,83,01801303,52,,Bodil Ceballos,5,23,M,FP,1,MP,FP,M,2,Maria 3 Mariatorget V,64,MP,,,,
C,7,Jan Björklund,FP,Martin Ådahl,28,Fredrik Reinfeldt,95,76,01801304,46,,Bodil Ceballos,6,31,M,C,2,MP,FP,M,1,Maria 4 Bergsgruvan,73,MP,,,,
C,2,Göran Hägglund,KD,Martin Ådahl,30,Fredrik Reinfeldt,115,62,01801305,37,,Cecilia Wikström,11,29,FP,C,2,M,KD,M,1,Maria 5 Mariatorget S,59,FP,17,,,
,3,Tomas Tobé,M,Anders Wijkman,34,Fredrik Reinfeldt,126,57,01801306,36,,Cecilia Wikström,12,23,FP,KD,,M,KD,M,1,Maria 6 Mariatorget,55,FP,18,,,
C,3,Ulrika Carlsson,C,Anders Wijkman,42,Fredrik Reinfeldt,114,67,01801307,34,,Cecilia Wikström,11,21,FP,KD,1,M,KD,M,1,Maria 7 Skaraborgsgatan mm,53,FP,18,,,
C,8,Ulrika Carlsson,C,Birgitta Olsson,38,Fredrik Reinfeldt,103,75,01801308,46,,Bodil Ceballos,5,23,M,FP,1,MP,FP,M,2,Maria 8 Södra station N,64,MP,,,,
,7,Mats Pertoft,MP,Magdalena Andersson,24,Stefan Löfven,88,98,01801309,62,,Bodil Ceballos,9,,MP,S,,S,,S,,Maria 9 Södra station S,77,MP,,,,
,3,Jan Björklund,FP,Anders Borg,46,Fredrik Reinfeldt,134,55,01801310,25,,Cecilia Wikström,13,27,FP,M,,M,,M,,Maria 10 Södra station Ö,43,FP,19,,,
C,9,Ulrika Carlsson,C,Birgitta Olsson,32,Fredrik Reinfeldt,118,71,01801311,42,,Bodil Ceballos,4,24,M,FP,1,MP,FP,M,2,Maria 11 Södra station V,62,MP,,,,
C,2,Göran Hägglund,KD,Martin Ådahl,30,Fredrik Reinfeldt,114,59,01801312,40,,Cecilia Wikström,11,28,FP,C,2,M,KD,M,1,Maria 12 Fredmansgatan mm,63,FP,15,,,
C,8,Ulrika Carlsson,C,Birgitta Olsson,34,Fredrik Reinfeldt,112,62,01801313,42,,Bodil Ceballos,5,26,M,FP,1,MP,FP,M,2,Maria 13 Mariaberget Ö,73,MP,,,,
C,7,Ulrika Carlsson,C,Birgitta Olsson,28,Fredrik Reinfeldt,96,69,01801401,37,,Bodil Ceballos,6,25,M,FP,1,MP,FP,M,1,Högalid 1 Reimersholme-Långholmen,77,MP,17,,,
C,2,Ulrika Carlsson,C,Anders Wijkman,33,Fredrik Reinfeldt,108,73,01801402,25,,Cecilia Wikström,10,26,FP,KD,2,M,KD,M,2,Högalid 2 Reimersholme S,59,FP,25,,,
C,3,Göran Hägglund,KD,Martin Ådahl,39,Fredrik Reinfeldt,114,49,01801403,36,,Cecilia Wikström,10,29,FP,C,2,M,KD,M,1,Högalid 3 Norra Högalid N,64,FP,18,,,
C,2,Göran Hägglund,KD,Martin Ådahl,28,Fredrik Reinfeldt,104,66,01801404,29,,Cecilia Wikström,11,31,FP,C,2,M,KD,M,1,Högalid 4 Norra Högalid C,71,FP,20,,,
C,7,Ulrika Carlsson,C,Birgitta Olsson,31,Fredrik Reinfeldt,103,58,01801405,46,,Bodil Ceballos,5,31,M,FP,2,MP,FP,M,2,Högalid 5 Bergsund mellersta,80,MP,,,,
C,7,Ulrika Carlsson,C,Birgitta Olsson,29,Fredrik Reinfeldt,98,73,01801406,47,,Bodil Ceballos,6,21,M,FP,1,MP,FP,M,2,Högalid 6 Pålsundsparken,81,MP,,,,
,3,Tomas Tobé,M,Martin Ådahl,35,Fredrik Reinfeldt,110,73,01801407,40,,Cecilia Wikström,11,30,FP,C,,M,C,M,2,Högalid 7 Bergsund S,61,FP,,,,
C,7,Ulrika Carlsson,C,Birgitta Olsson,25,Gustav Fridolin,97,72,01801408,46,,Carl Bildt,7,22,M,FP,1,MP,FP,MP,1,Högalid 8 Bergsund N,87,M,,,,
C,9,Ulrika Carlsson,C,Birgitta Olsson,30,Fredrik Reinfeldt,114,70,01801409,47,,Bodil Ceballos,4,27,M,FP,1,MP,FP,M,2,Högalid 9 Hornstull,61,MP,,,,
,6,Mats Pertoft,MP,Magdalena Andersson,33,Stefan Löfven,89,111,01801410,43,,Bodil Ceballos,10,,MP,S,,S,,S,,Högalid 10 Drakenberg,73,MP,,,,
KD,9,Göran Hägglund,KD,Birgitta Olsson,23,Fredrik Reinfeldt,113,94,01801411,36,,Bodil Ceballos,5,,M,FP,1,MP,FP,M,1,Högalid 11 Zinkensdamm N,65,MP,18,,,
,3,Tomas Tobé,M,Martin Ådahl,34,Fredrik Reinfeldt,119,50,01801412,39,,Cecilia Wikström,10,38,FP,C,,M,C,M,3,Högalid 12 Skinnarviken,69,FP,,,,
C,3,Göran Hägglund,KD,Martin Ådahl,35,Fredrik Reinfeldt,111,71,01801413,34,,Cecilia Wikström,10,26,FP,C,2,M,KD,M,1,Högalid 13 Münchenbryggeriet,54,FP,18,,,
C,2,Göran Hägglund,KD,Martin Ådahl,32,Fredrik Reinfeldt,119,67,01801414,35,,Cecilia Wikström,11,28,FP,C,2,M,KD,M,1,Högalid 14 Zinkensdamm Ö,51,FP,17,,,
,3,Ibrahim Baylan,S,Ulla Andersson,31,Stefan Löfven,79,84,01801415,40,,Bodil Ceballos,7,27,V,V,,S,MP,S,6,Högalid 15 Zinkensdamm,71,MP,17,,,
C,8,Ulrika Carlsson,C,Birgitta Olsson,25,Fredrik Reinfeldt,106,72,01801416,49,,Bodil Ceballos,6,19,M,FP,1,MP,FP,M,1,Högalid 16 Södersjukhuset,78,MP,,,,
,9,Tomas Tobé,M,Birgitta Olsson,30,Fredrik Reinfeldt,109,101,01801417,50,,Bodil Ceballos,5,,M,FP,,MP,FP,M,2,Högalid 17 Tobaksmonopolet,59,MP,,,,
C,7,Ulrika Carlsson,C,Birgitta Olsson,31,Fredrik Reinfeldt,101,69,01801418,42,,Bodil Ceballos,6,26,M,FP,1,MP,FP,M,2,Högalid 18 Maria Skolgata mm,80,MP,,,,
C,8,Ulrika Carlsson,C,Birgitta Olsson,34,Fredrik Reinfeldt,93,82,01801419,41,,Bodil Ceballos,4,24,M,FP,1,MP,FP,M,2,Högalid 19 Lundagatan mm,60,MP,15,,,
,3,Tomas Tobé,M,Martin Ådahl,34,Fredrik Reinfeldt,112,61,01801420,33,,Cecilia Wikström,11,30,FP,C,,M,C,M,2,Högalid 20 Pålsundet,79,FP,,,,
C,7,Ulrika Carlsson,C,Birgitta Olsson,25,Gustav Fridolin,88,77,01801421,48,,Carl Bildt,7,26,M,FP,1,MP,FP,MP,1,Högalid 21 Folkskolegatan mm,85,M,,,,
C,4,Ulrika Carlsson,C,Anders Wijkman,44,Fredrik Reinfeldt,101,79,01801422,27,,Cecilia Wikström,10,19,FP,KD,1,M,KD,M,1,Högalid 22 Tanto,56,FP,23,,,
C,2,Göran Hägglund,KD,Martin Ådahl,34,Fredrik Reinfeldt,119,60,01801501,39,,Cecilia Wikström,11,25,FP,C,2,M,KD,M,1,Katarina 1 Björns Trädgård,56,FP,16,,,
,3,Tomas Tobé,M,Martin Ådahl,34,Fredrik Reinfeldt,128,65,01801502,34,,Cecilia Wikström,11,32,FP,C,,M,C,M,2,Katarina 2 Mosebacke,56,FP,,,,
,3,Tomas Tobé,M,Martin Ådahl,36,Fredrik Reinfeldt,116,68,01801503,41,,Cecilia Wikström,11,27,FP,C,,M,C,M,2,Katarina 3 Katarina kyrka,61,FP,,,,
C,2,Göran Hägglund,KD,Martin Ådahl,27,Fredrik Reinfeldt,111,58,01801504,46,,Cecilia Wikström,11,23,FP,C,2,M,KD,M,1,Katarina 4 Östra Katarina V,67,FP,17,,,
C,8,Ulrika Carlsson,C,Birgitta Olsson,32,Fredrik Reinfeldt,113,65,01801505,39,,Bodil Ceballos,5,28,M,FP,1,MP,FP,M,2,Katarina 5 Östra Katarina VSV,72,MP,,,,
C,9,Ulrika Carlsson,C,Birgitta Olsson,32,Fredrik Reinfeldt,113,80,01801506,38,,Bodil Ceballos,4,23,M,FP,1,MP,FP,M,2,Katarina 6 Östra Katarina Ö,63,MP,,,,
,4,Ibrahim Baylan,S,Åsa Romson,19,Stefan Löfven,86,114,01801507,57,20,Hans Linde,8,,V,MP,,S,MP,S,4,Katarina 7 Kv Linjalen mm,53,V,,,,
C,3,Göran Hägglund,KD,Martin Ådahl,40,Fredrik Reinfeldt,118,52,01801508,32,,Cecilia Wikström,11,26,FP,C,2,M,KD,M,0,Katarina 8 Medborgarplatsen-Skrapan,66,FP,15,,,
C,8,Ulrika Carlsson,C,Birgitta Olsson,30,Fredrik Reinfeldt,105,62,01801509,41,,Bodil Ceballos,6,27,M,FP,1,MP,FP,M,1,Katarina 9 Allhelgonakyrkan,84,MP,,,,
C,8,Ulrika Carlsson,C,Birgitta Olsson,30,Fredrik Reinfeldt,101,78,01801510,43,,Bodil Ceballos,4,19,M,FP,1,MP,FP,M,2,Katarina 10 Eriksdal V,62,MP,16,,,
C,8,Jan Björklund,FP,Martin Ådahl,29,Fredrik Reinfeldt,102,74,01801511,40,,Bodil Ceballos,5,30,M,C,2,MP,FP,M,1,Katarina 11 Rosenlundsparken,74,MP,,,,
C,8,Ulrika Carlsson,C,Birgitta Olsson,30,Fredrik Reinfeldt,106,76,01801512,51,,Bodil Ceballos,5,18,M,FP,1,MP,FP,M,2,Katarina 12 Eriksdal Ö,68,MP,,,,
,3,Ibrahim Baylan,S,Ulla Andersson,32,Stefan Löfven,96,111,01801513,48,,Bodil Ceballos,8,,V,V,,S,MP,S,5,Katarina 13 Rosenlund,62,MP,,,,
C,7,Ulrika Carlsson,C,Birgitta Olsson,33,Fredrik Reinfeldt,96,67,01801514,46,,Bodil Ceballos,6,29,M,FP,1,MP,FP,M,2,Katarina 14 Bjurholmsplan mm,78,MP,,,,
KD,8,Göran Hägglund,KD,Birgitta Olsson,26,Fredrik Reinfeldt,105,64,01801515,44,,Bodil Ceballos,5,16,M,FP,1,MP,FP,M,1,Katarina 15 Skanstull,70,MP,24,,,
C,8,Ulrika Carlsson,C,Birgitta Olsson,24,Fredrik Reinfeldt,102,91,01801516,41,,Bodil Ceballos,6,21,M,FP,1,MP,FP,M,1,Katarina 16 Östra Katarina SV,70,MP,,,,
C,2,Göran Hägglund,KD,Martin Ådahl,33,Fredrik Reinfeldt,116,65,01801517,26,,Cecilia Wikström,11,28,FP,C,2,M,KD,M,1,Katarina 17 Östra Katarina SSÖ,65,FP,16,,,
C,8,Ulrika Carlsson,C,Birgitta Olsson,37,Fredrik Reinfeldt,110,66,01801518,46,,Bodil Ceballos,5,20,M,FP,1,MP,FP,M,2,Katarina 18 Nytorget,70,MP,,,,
C,8,Jan Björklund,FP,Martin Ådahl,26,Fredrik Reinfeldt,117,67,01801519,36,,Bodil Ceballos,5,31,M,C,2,MP,FP,M,1,Katarina 19 Östra Katarina C,72,MP,,,,
KD,8,Göran Hägglund,KD,Birgitta Olsson,31,Fredrik Reinfeldt,100,91,01801520,37,15,Bodil Ceballos,3,17,M,FP,1,MP,FP,M,2,Katarina 20 Ringen,40,MP,18,,,
,3,Jan Björklund,FP,Anders Borg,43,Fredrik Reinfeldt,140,56,01801701,20,,Cecilia Wikström,13,27,FP,M,,M,,M,,Sofia 1 Mandelparken,41,FP,22,,,
KD,7,Göran Hägglund,KD,Birgitta Olsson,19,Fredrik Reinfeldt,92,80,01801702,45,,Bodil Ceballos,5,18,M,FP,1,MP,FP,M,1,Sofia 2 Åsöberget,77,MP,18,,,
,3,Tomas Tobé,M,Martin Ådahl,34,Fredrik Reinfeldt,116,61,01801703,44,,Cecilia Wikström,11,26,FP,C,,M,C,M,2,Sofia 3 Sofia kyrka,68,FP,,,,
C,2,Göran Hägglund,KD,Martin Ådahl,31,Fredrik Reinfeldt,113,55,01801704,42,,Cecilia Wikström,11,29,FP,C,2,M,KD,M,1,Sofia 4 Stig Claessons Park-Fjällg.,60,FP,19,,,
C,8,Ulrika Carlsson,C,Birgitta Olsson,28,Fredrik Reinfeldt,107,76,01801705,35,,Bodil Ceballos,6,25,M,FP,1,MP,FP,M,1,Sofia 5 Sågargatan mm,78,MP,,,,
,2,Tomas Tobé,M,Martin Ådahl,31,Fredrik Reinfeldt,140,51,01801706,26,,Cecilia Wikström,12,33,FP,C,,M,C,M,2,Sofia 6 Luma,68,FP,,,,
C,7,Jan Björklund,FP,Martin Ådahl,28,Fredrik Reinfeldt,102,60,01801707,45,,Bodil Ceballos,6,31,M,C,2,MP,FP,M,1,Sofia 7 Kv Vitbetan,83,MP,,,,
,2,Jan Björklund,FP,Anders Borg,36,Fredrik Reinfeldt,148,46,01801708,16,,Cecilia Wikström,14,31,FP,M,,M,,M,,Sofia 8 Sickla kaj,58,FP,14,,,
C,2,Ulrika Carlsson,C,Anders Wijkman,32,Fredrik Reinfeldt,116,77,01801709,32,,Cecilia Wikström,12,17,FP,KD,1,M,KD,M,1,Sofia 9 Bohusgatan mm,58,FP,17,,,
